nama_kosan,lokasi,type_kosan,fasilitas,harga
 Kost Vanela 15 Tipe B , Kecamatan Menteng , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp3.095.000 
 Kost 15 Tipe C , Kecamatan Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.525.000 
 Kost Petojo Selatan 12 Tipe B , Gambir , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.577.000 
 Kost Anisa Kebon Kacang 6 Tipe C , Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.675.000 
 Kost GBU Houseroom Tipe B , Kecamatan Kemayoran , Campur ,"['WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.567.500 
 Kost Vanela 8 Benhil Tipe B , Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.875.000 
 Kost Joy Kramat Sentiong 85 Tipe A , Kecamatan Senen , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.865.000 
 Kost Batik Tipe A Bendungan Hilir , Kecamatan Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.353.000 
 Kost Kramat Tipe C , Johar Baru , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp1.317.000 
 Kost Kramat Kwitang 30 Tipe B , Kecamatan Senen , Putra ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp1.495.000 
